batch,id,category,text_ar,spoken_input,filename_wav,filename_mp3,status
B01,FB-01,feedback,أحسنت.,أحسنت.,FB-01.wav,FB-01.mp3,approved
B01,FB-02,feedback,إجابة صحيحة.,إجابة صحيحة.,FB-02.wav,FB-02.mp3,approved
B01,FB-03,feedback,حاول مرة أخرى.,حاول مرة أخرى.,FB-03.wav,FB-03.mp3,approved
B01,FB-04,feedback,أكملت النشاط بنجاح.,أكملت النشاط بنجاح.,FB-04.wav,FB-04.mp3,approved
B01,LET-01,letter-sound,مَ,مَ,LET-01.wav,LET-01.mp3,approved
B01,LET-02,letter-sound,ب,بْ,LET-02.wav,LET-02.mp3,approved
B01,LET-03,letter-sound,س,سْ,LET-03.wav,LET-03.mp3,approved
B01,LET-04,letter-sound,ق,قْ,LET-04.wav,LET-04.mp3,approved
B01,LET-05,letter-sound,ر,رْ,LET-05.wav,LET-05.mp3,approved
B01,LET-06,letter-sound,ن,نْ,LET-06.wav,LET-06.mp3,approved
B02,SYL-01,syllable,بَ,بَ,SYL-01.wav,SYL-01.mp3,approved
B02,SYL-02,syllable,بِ,بِ,SYL-02.wav,SYL-02.mp3,approved
B02,SYL-03,syllable,بُ,بُ,SYL-03.wav,SYL-03.mp3,approved
B02,SYL-04,syllable,مَا,مَا,SYL-04.wav,SYL-04.mp3,approved
B02,SYL-05,syllable,مِ,مِ,SYL-05.wav,SYL-05.mp3,approved
B02,SYL-06,syllable,سُ,سُ,SYL-06.wav,SYL-06.mp3,approved
B02,SYL-07,syllable,رَ,رَ,SYL-07.wav,SYL-07.mp3,approved
B02,SYL-08,syllable,قِ,قِ,SYL-08.wav,SYL-08.mp3,approved
B02,SYL-09,syllable,بَا,بَا,SYL-09.wav,SYL-09.mp3,approved
B02,SYL-10,syllable,فِي,فِي,SYL-10.wav,SYL-10.mp3,approved
B02,SYL-11,syllable,نُو,نُو,SYL-11.wav,SYL-11.mp3,approved
B02,SYL-12,syllable,لِي,لِي,SYL-12.wav,SYL-12.mp3,approved
B06,SYL-13,syllable,سَا,سَا,SYL-13.wav,SYL-13.mp3,approved
B03,WRD-01,word,موزة,مَوْزَة,WRD-01.wav,WRD-01.mp3,approved
B03,WRD-02,word,كتاب,كِتاب,WRD-02.wav,WRD-02.mp3,approved
B03,WRD-03,word,باب,باب,WRD-03.wav,WRD-03.mp3,approved
B03,WRD-04,word,قلم,قَلَم,WRD-04.wav,WRD-04.mp3,approved
B03,WRD-05,word,سمك,سَمَك,WRD-05.wav,WRD-05.mp3,approved
B03,WRD-06,word,سمكة,سَمَكَة,WRD-06.wav,WRD-06.mp3,approved
B03,WRD-07,word,شمس,شَمْس,WRD-07.wav,WRD-07.mp3,approved
B03,WRD-08,word,قمر,قَمَر,WRD-08.wav,WRD-08.mp3,approved
B03,WRD-09,word,نخلة,نَخْلَة,WRD-09.wav,WRD-09.mp3,approved
B03,WRD-10,word,كرة,كُرَة,WRD-10.wav,WRD-10.mp3,approved
B04,WRD-11,word,ماء,ماء,WRD-11.wav,WRD-11.mp3,approved
B04,WRD-12,word,بطة,بَطَّة,WRD-12.wav,WRD-12.mp3,approved
B04,WRD-13,word,سيارة,سَيَّارَة,WRD-13.wav,WRD-13.mp3,approved
B04,WRD-14,word,نجم,نَجْم,WRD-14.wav,WRD-14.mp3,approved
B04,WRD-15,word,نور,نور,WRD-15.wav,WRD-15.mp3,approved
B04,WRD-16,word,مكتب,مَكْتَب,WRD-16.wav,WRD-16.mp3,approved
B04,WRD-17,word,بحر,بَحْر,WRD-17.wav,WRD-17.mp3,approved
B04,WRD-18,word,أرنب,أَرْنَب,WRD-18.wav,WRD-18.mp3,approved
B04,WRD-19,word,بيت,بَيْت,WRD-19.wav,WRD-19.mp3,approved
B04,WRD-20,word,طفل,طِفْل,WRD-20.wav,WRD-20.mp3,approved
B05,WRD-21,word,وردة,وَرْدَة,WRD-21.wav,WRD-21.mp3,approved
B05,WRD-22,word,سوق,سوق,WRD-22.wav,WRD-22.mp3,approved
B05,WRD-23,word,فيل,فيل,WRD-23.wav,WRD-23.mp3,approved
B05,WRD-24,word,قَلَمٌ,قَلَمٌ,WRD-24.wav,WRD-24.mp3,approved
B05,WRD-25,word,كِتَابًا,كِتَابًا,WRD-25.wav,WRD-25.mp3,approved
B05,WRD-26,word,بَيْتٍ,بَيْتٍ,WRD-26.wav,WRD-26.mp3,approved
B05,WRD-27,word,طِفْلٌ,طِفْلٌ,WRD-27.wav,WRD-27.mp3,approved
B05,WRD-28,word,وَرْدَةً,وَرْدَةً,WRD-28.wav,WRD-28.mp3,approved
B06,WRD-29,word,موز,موز,WRD-29.wav,WRD-29.mp3,approved
B06,INS-01,auditory-story,قصة ليان في المزرعة,ذهبت ليان مع أبيها إلى المزرعة في الصباح. رأت أرنبًا أبيض قرب الشجرة، فأعطته جزرة. ثم ساعدت أباها في سقي النباتات. وقبل أن تعود إلى البيت، قطفت زهرة صفراء لأمها.,INS-01.wav,INS-01.mp3,approved
B06,INS-02,auditory-story,قصة نادر في الشاطئ,ذهب نادر مع أخته إلى الشاطئ. بنيا قلعة من الرمل، ثم جمعا أصدافًا جميلة. وبعد اللعب جلسا تحت المظلة وشربا الماء، ثم عادا إلى البيت.,INS-02.wav,INS-02.mp3,approved
